Permit_Type,Project,Project_Valuation,Total_SQFT,PSFEE,PAFEE,UTFEE,CDFEE,TotalFeeInvoiced,GeoCluster
RE-ROOF,RESIDENTIAL,5500.0,0,0,0,0.0,63.11,63.11,3
PLUMBING,RESIDENTIAL,0.0,0,0,0,13.5,57.75,71.25,0
ALTERATION,RESIDENTIAL,3400.0,0,0,0,0.0,48.38,48.38,3
RE-ROOF,RESIDENTIAL,4800.0,0,0,0,0.0,56.04,56.04,3
PLUMBING,RESIDENTIAL,0.0,0,0,0,13.5,57.75,71.25,0
RE-ROOF,RESIDENTIAL,4500.0,0,0,0,0.0,54.27,54.27,4
PLUMBING,RESIDENTIAL,0.0,0,0,0,0.0,30.75,30.75,4
RE-ROOF,RESIDENTIAL,13977.0,0,0,0,0.0,110.23,110.23,0
MECHANICAL,COMMERCIAL,0.0,0,0,0,0.0,70.25,70.25,4
PLUMBING,RESIDENTIAL,0.0,0,0,0,21.0,60.75,81.75,1
PLUMBING,RESIDENTIAL,0.0,0,0,0,13.5,60.75,74.25,1
PLUMBING,RESIDENTIAL,0.0,0,0,0,13.5,63.75,77.25,1
PLUMBING,COMMERCIAL,0.0,0,0,0,3.0,99.75,102.75,5
RE-ROOF,RESIDENTIAL,8000.0,0,0,0,0.0,74.89,74.89,0
PLUMBING,COMMERCIAL,0.0,0,0,0,4.5,75.75,80.25,3
MECHANICAL,COMMERCIAL,0.0,0,0,0,3.0,60.25,63.25,3
PLUMBING,RESIDENTIAL,0.0,0,0,0,4.5,27.75,32.25,3
ELECTRICAL,RESIDENTIAL,0.0,0,0,0,0.0,55.0,55.0,3
ELECTRICAL,RESIDENTIAL,0.0,0,0,0,0.0,55.0,55.0,0
RE-ROOF,RESIDENTIAL,5578.0,0,0,0,0.0,60.62,60.62,3
ELECTRICAL,RESIDENTIAL,0.0,0,0,0,0.0,55.0,55.0,3
ELECTRICAL,RESIDENTIAL,0.0,0,0,0,0.0,110.0,110.0,5
PLUMBING,RESIDENTIAL,0.0,0,0,0,4.5,33.75,38.25,4
RE-ROOF,COMMERCIAL,22817.0,0,0,0,0.0,163.24,163.24,2
PLUMBING,RESIDENTIAL,0.0,0,0,0,6.0,27.75,33.75,1
ELECTRICAL,RESIDENTIAL,0.0,0,0,0,0.0,55.0,55.0,5
MECHANICAL,RESIDENTIAL,0.0,0,0,0,0.0,45.25,45.25,3
ELECTRICAL,RESIDENTIAL,0.0,0,0,0,0.0,65.0,65.0,1
ELECTRICAL,RESIDENTIAL,0.0,0,0,0,0.0,55.0,55.0,1
ELECTRICAL,RESIDENTIAL,0.0,0,0,0,0.0,55.0,55.0,1
ELECTRICAL,RESIDENTIAL,0.0,0,0,0,0.0,65.0,65.0,1
ELECTRICAL,RESIDENTIAL,0.0,0,0,0,0.0,55.0,55.0,0
RE-ROOF,RESIDENTIAL,43355.0,0,0,0,0.0,519.01,259.51,5
ELECTRICAL,RESIDENTIAL,0.0,0,0,0,0.0,55.0,55.0,2
PLUMBING,RESIDENTIAL,0.0,0,0,0,16.5,147.75,104.25,3
ELECTRICAL,RESIDENTIAL,0.0,0,0,0,0.0,55.0,55.0,2
PLUMBING,RESIDENTIAL,0.0,0,0,0,0.0,0.0,0.0,0
NEW,RESIDENTIAL,175000.0,3390,887,2600,3138.0,830.55,7455.55,5
ELECTRICAL,RESIDENTIAL,0.0,0,0,0,0.0,20.0,20.0,1
ELECTRICAL,COMMERCIAL,0.0,0,0,0,0.0,125.0,125.0,3
PLUMBING,RESIDENTIAL,0.0,0,0,0,0.0,33.75,33.75,4
PLUMBING,RESIDENTIAL,0.0,0,0,0,13.5,96.75,110.25,1
PLUMBING,RESIDENTIAL,0.0,0,0,0,13.5,96.75,110.25,1
PLUMBING,RESIDENTIAL,0.0,0,0,0,13.5,102.75,116.25,1
PLUMBING,RESIDENTIAL,0.0,0,0,0,4.5,30.75,35.25,1
PERMANENT,SIGN,0.0,0,0,0,0.0,25.0,25.0,5
RE-ROOF,RESIDENTIAL,3000.0,0,0,0,0.0,45.44,45.44,4
PERMANENT,SIGN,0.0,0,0,0,0.0,25.0,25.0,2
ELECTRICAL,COMMERCIAL,0.0,0,0,0,0.0,160.0,160.0,5
RE-ROOF,RESIDENTIAL,14323.0,0,0,0,0.0,112.13,112.13,0
PERMANENT,SIGN,0.0,0,0,0,0.0,15.0,15.0,5
ELECTRICAL,RESIDENTIAL,0.0,0,0,0,0.0,65.0,65.0,0
PLUMBING,RESIDENTIAL,0.0,0,0,0,6.0,66.75,72.75,1
PLUMBING,RESIDENTIAL,0.0,0,0,0,9.0,93.75,102.75,1
PLUMBING,RESIDENTIAL,0.0,0,0,0,6.0,102.75,108.75,1
PLUMBING,RESIDENTIAL,0.0,0,0,0,13.5,75.75,89.25,1
ELECTRICAL,RESIDENTIAL,0.0,0,0,0,0.0,55.0,55.0,4
ELECTRICAL,COMMERCIAL,0.0,0,0,0,0.0,220.0,220.0,1
PERMANENT,SIGN,0.0,0,0,0,0.0,35.0,35.0,3
RE-ROOF,RESIDENTIAL,10127.0,0,0,0,0.0,92.56,92.56,4
ELECTRICAL,COMMERCIAL,0.0,0,0,0,0.0,420.0,420.0,5
ALTERATION,COMMERCIAL,1500.0,0,0,0,0.0,40.71,40.71,3
RE-ROOF,RESIDENTIAL,2100.0,0,0,0,0.0,45.44,45.44,1
RE-ROOF,RESIDENTIAL,20935.0,0,0,0,0.0,151.46,151.46,5
ELECTRICAL,RESIDENTIAL,0.0,0,0,0,0.0,55.0,55.0,5
RE-ROOF,RESIDENTIAL,10450.0,0,0,0,0.0,89.15,89.15,0
ELECTRICAL,RESIDENTIAL,0.0,0,0,0,0.0,110.0,110.0,1
PLUMBING,RESIDENTIAL,0.0,0,0,0,6.0,27.75,33.75,3
ELECTRICAL,RESIDENTIAL,0.0,0,0,0,0.0,110.0,110.0,1
RE-ROOF,RESIDENTIAL,17752.0,0,0,0,0.0,133.79,133.79,4
PLUMBING,RESIDENTIAL,0.0,0,0,0,6.0,27.75,33.75,4
PLUMBING,RESIDENTIAL,0.0,0,0,0,4.5,27.75,32.25,3
PLUMBING,RESIDENTIAL,0.0,0,0,0,4.5,27.75,32.25,3
MECHANICAL,RESIDENTIAL,0.0,0,0,0,0.0,69.25,69.25,1
PLUMBING,RESIDENTIAL,0.0,0,0,0,4.5,27.75,32.25,3
PLUMBING,RESIDENTIAL,0.0,0,0,0,6.0,27.75,33.75,1
PLUMBING,RESIDENTIAL,0.0,0,0,0,4.5,27.75,32.25,0
ELECTRICAL,RESIDENTIAL,0.0,0,0,0,0.0,105.0,105.0,0
RE-ROOF,RESIDENTIAL,9611.0,0,0,0,0.0,84.38,84.38,4
PLUMBING,RESIDENTIAL,0.0,0,0,0,6.0,27.75,33.75,1
NEW,RESIDENTIAL,229000.0,2561,835,2600,1358.0,358.55,3793.55,4
ALTERATION,COMMERCIAL,75000.0,0,1,0,0.0,753.2,376.6,4
MECHANICAL,RESIDENTIAL,0.0,0,0,0,0.0,30.75,30.75,1
MECHANICAL,COMMERCIAL,0.0,0,0,0,3.0,27.75,30.75,1
PERMANENT,SIGN,0.0,0,0,0,0.0,20.0,20.0,3
PERMANENT,SIGN,0.0,0,0,0,0.0,15.0,15.0,4
PLUMBING,RESIDENTIAL,0.0,0,0,0,4.5,27.75,32.25,3
PLUMBING,RESIDENTIAL,0.0,0,0,0,4.5,27.75,32.25,4
MECHANICAL,RESIDENTIAL,0.0,0,0,0,0.0,30.75,30.75,1
MECHANICAL,RESIDENTIAL,0.0,0,0,0,0.0,30.75,30.75,5
MECHANICAL,RESIDENTIAL,0.0,0,0,0,0.0,73.75,73.75,1
RE-ROOF,COMMERCIAL,25000.0,0,0,0,0.0,175.03,175.03,3
RE-ROOF,RESIDENTIAL,3800.0,0,0,0,0.0,51.33,51.33,3
ELECTRICAL,RESIDENTIAL,0.0,0,0,0,0.0,20.0,20.0,1
MECHANICAL,COMMERCIAL,0.0,0,0,0,0.0,82.75,82.75,4
MECHANICAL,RESIDENTIAL,0.0,0,0,0,0.0,69.25,69.25,1
MECHANICAL,RESIDENTIAL,0.0,0,0,0,0.0,73.75,73.75,5
MECHANICAL,RESIDENTIAL,0.0,0,0,0,0.0,69.25,69.25,1
RE-ROOF,RESIDENTIAL,11000.0,0,0,0,0.0,92.56,92.56,3
MECHANICAL,RESIDENTIAL,0.0,0,0,0,0.0,66.25,66.25,1
ELECTRICAL,RESIDENTIAL,0.0,0,0,0,0.0,55.0,55.0,5
MECHANICAL,RESIDENTIAL,0.0,0,0,0,0.0,66.25,66.25,1
NEW,RESIDENTIAL,120000.0,1289,552,285,5298.0,180.47,465.47,1
RE-ROOF,RESIDENTIAL,9500.0,0,0,0,0.0,83.72,83.72,0
NEW,RESIDENTIAL,120000.0,1289,552,2600,3138.0,180.47,180.47,1
ADDITION,RESIDENTIAL,30000.0,614,0,0,0.0,53.72,53.72,5
PLUMBING,RESIDENTIAL,0.0,0,0,0,4.5,27.75,32.25,3
PLUMBING,RESIDENTIAL,0.0,0,0,0,4.5,27.75,32.25,3
RE-ROOF,RESIDENTIAL,6634.0,0,0,0,0.0,135.84,66.84,3
